v1,v2,,,
ok,Celular sem defeitos,,,
ok,Sem defeitos,,,
ok,Tela esta correta,,,
ok,Celular esta correto,,,
ok,Muito bom,,,
ok,Tela sem defeitos,,,
ok,Nao apresenta defeitos,,,
ok,Celular esta bom,,,
ok,Tela esta boa,,,
ok,Otimo estado,,,
ok,Excelente estado,,,
ok,Tela em otimo estado,,,
ok,Tela em excelente estado,,,
ok,Celular em otimo estado,,,
ok,Celular em excelente estado,,,
ok,Bom estado,,,
ok,Tela em bom estado,,,
ok,Celular pronto para venda,,,
ok,Celular comercializavel,,,
ok,Ok,,,
ok,Tela ok,,,
ok,Celular ok,,,
ok,Qualidade satisfatoria,,,
ok,Apropriado,,,
ok,Celular apropriado,,,
ok,Perfeito,,,
ok,Celular perfeito,,,
ok,Qualidade apropriada,,,
ok,Estavel,,,
ok,Excelente estado,,,
ok,Tela firme,,,
ok,Celular perfeito,,,
ok,Tela resistente,,,
ok,Tela perfeita,,,
ok,Magnifico,,,
ok,Celular magnifico,,,
ok,Tela magnifica,,,
ok,Celular em bom estado,,,
ok,Positivo,,,
ok,Ilustre,,,
ok,Primorosa,,,
ok,Tela ideal,,,
ok,Otimo,,,
ok,Inigualavel,,,
ok,Bateria duradoura,,,
ok,Bateria dura bastante,,,
ok,Imagem estupenda,,,
ok,Excelente,,,
ok,Tela boa,,,
ok,Muito boa,,,
ok,Celular bom,,,
ok,Qualidade ideal,,,
ok,Otima qualidade,,,
ok,Celular muito bom,,,
ok,Otimo sinal,,,
ok,Otima recepcao de sinal,,,
ok,Alto falante potente,,,
ok,Tela muito boa,,,
ok,Legal,,,
ok,A melhor possivel,,,
ok,Esta correta,,,
ok,Excelente camera,,,
ok,Excelente imagem,,,
ok,Camera perfeita,,,
ok,Camera muito boa,,,
ok,Som muito bom,,,
ok,Otima camera,,,
ok,Boa camera,,,
ok,Celular resistente,,,
defeituoso,Trincado,,,
defeituoso,Tela riscada,,,
defeituoso,Tela trincada,,,
defeituoso,Celular trincado,,,
defeituoso,Arranhada,,,
defeituoso,Tela arranhada,,,
defeituoso,Erro na Tela,,,
defeituoso,Arranhado,,,
defeituoso,Celular arranhado,,,
defeituoso,Quebrado,,,
defeituoso,Celular quebrado,,,
defeituoso,Tela quebrada,,,
defeituoso,Celular fragil,,,
defeituoso,Tela fragil,,,
defeituoso,Bateria viciada,,,
defeituoso,Bateria sem vida util,,,
defeituoso,Bateria com defeito,,,
defeituoso,Com defeito,,,
defeituoso,Tela com defeito,,,
defeituoso,Celular com defeito,,,
defeituoso,Display com defeito,,,
defeituoso,Defeituoso,,,
defeituoso,Celular defeituoso,,,
defeituoso,Tela defeituosa,,,
defeituoso,Display defeituoso,,,
defeituoso,Incompleto,,,
defeituoso,Erro no display,,,
defeituoso,Display com defeito,,,
defeituoso,Display quebrado,,,
defeituoso,Display trincado,,,
defeituoso,Display riscado,,,
defeituoso,Display fragil,,,
defeituoso,Bateria estufada,,,
defeituoso,Display queimado,,,
defeituoso,Queimado,,,
defeituoso,Celular queimado,,,
defeituoso,Tela queimada,,,
defeituoso,Nao liga,,,
defeituoso,Celular nao liga,,,
defeituoso,Tela nao acende,,,
defeituoso,Display nao acende,,,
defeituoso,Problema no botao,,,
defeituoso,Problema no celular,,,
defeituoso,Problema na tela,,,
defeituoso,Problema no display,,,
defeituoso,Celular com problema,,,
defeituoso,Tela com problema,,,
defeituoso,Display com problema,,,
defeituoso,Alto falante defeituoso,,,
defeituoso,Microfone com problema,,,
defeituoso,Microfone com defeito,,,
defeituoso,Microfone defeituoso,,,
defeituoso,Alto falante com problema,,,
defeituoso,Pessimo celular,,,
defeituoso,Pessimo produto,,,
defeituoso,Pessima recepcao de sinal,,,
defeituoso,Recepcao de sinal ruim,,,
defeituoso,Produto defeituoso,,,
defeituoso,Camera defeituosa,,,
defeituoso,Camera quebrada,,,
defeituoso,Camera com defeito,,,
defeituoso,Camera nao funciona,,,
defeituoso,Microfone nao funciona,,,